desgs,epoch,M,omega,Omega,inc,ecc,a,H,q,Q,min_dist_bound_AU,V_bright_bound
40,2023-02-25,152.51051,268.95055,94.16362,4.25552,0.0462818,2.2674027,7.29,2.1624632217191397,2.37234217828086,1.1457089217191396,9.260115124438066
41,2023-02-25,75.01104,45.96758,178.05584,15.78973,0.2743599,2.7612163,7.52,2.00364927205363,3.5187833279463696,0.98689497205363,9.000463196628623
42,2023-02-25,205.08479,237.23704,84.17654,8.51059,0.2223613,2.4427581,7.6,1.89958323329847,2.9859329667015295,0.8828289332984698,8.722674428229059
43,2023-02-25,200.00683,16.20979,264.76075,3.47069,0.1687372,2.2027705,7.97,1.8310811735874002,2.5744598264126,0.8143268735874001,8.837531822971103
44,2023-02-25,87.52338,344.16863,131.49471,3.71151,0.1491182,2.4231286,7.01,2.06179602479948,2.78446117520052,1.0450417247994799,8.676896642923364
45,2023-02-25,346.55692,87.54349,147.59158,6.60508,0.0833541,2.7208804,7.67,2.49408386305036,2.94767693694964,1.4773295630503598,10.501942205457947
46,2023-02-25,54.07482,177.09005,181.0692,2.35179,0.1727133,2.5248422,8.59,2.08876837165874,2.9609160283412606,1.07201407165874,10.340453844201281
47,2023-02-25,333.73313,315.25786,3.05128,4.97562,0.1299682,2.8802805,8.2,2.5059356279199,3.2546253720801,1.4891813279199,11.059587464490301
48,2023-02-25,322.72987,250.87631,183.44865,6.55986,0.0682692,3.1171105,7.19,2.9043078598534,3.3299131401466,1.8875535598533997,10.884709669333317
49,2023-02-25,132.56035,113.2229,285.02993,3.20027,0.2216737,3.0990785,7.88,2.41209430231455,3.78606269768545,1.39534000231455,10.515371638973475
50,2023-02-25,118.48622,199.97773,173.46711,2.83939,0.2851517,2.6509856,9.34,1.8950525494844799,3.4069186505155202,0.8782982494844798,10.446316372769994
51,2023-02-25,116.27059,1.69084,175.95499,9.97939,0.067404,2.3649194,7.65,2.2055143727623996,2.5243244272376,1.1887600727623995,9.743020510956637
52,2023-02-25,131.25713,342.95749,128.58612,7.47847,0.1110317,3.0939627,6.55,2.7504347616824103,3.4374906383175903,1.7336804616824102,9.941852015190467
53,2023-02-25,28.79601,314.21224,143.4581,5.181,0.202504,2.618702,8.89,2.088404370192,3.148999629808,1.0716500701919998,10.639337950432703
54,2023-02-25,327.09133,345.26753,313.23188,11.79643,0.196803,2.7109705,7.87,2.1774433726885,3.2444976273115005,1.1606890726884997,9.88331382607001
55,2023-02-25,301.86661,5.51951,10.36179,7.18168,0.1441161,2.7583717,7.86,2.36084592824563,3.15589747175437,1.3440916282456299,10.367482607379388
56,2023-02-25,216.53073,104.94752,192.94055,8.0819,0.2375069,2.5968662,8.52,1.9800925591232201,3.2136398408767803,0.96333825912322,9.922321502320461
57,2023-02-25,29.64703,210.56559,198.89727,15.23671,0.1086816,3.1529178,7.02,2.81025364882752,3.49558195117248,1.79349934882752,10.532233718520105
58,2023-02-25,246.02681,34.08585,161.06339,5.07258,0.0449643,2.6987008,9.07,2.57735560761856,2.82004599238144,1.56060130761856,12.092331552147627
59,2023-02-25,108.1828,210.8425,169.93108,8.64928,0.1171759,2.7133634,8.03,2.39542260157794,3.0313041984220597,1.3786683015779397,10.624209666630357
60,2023-02-25,221.59362,271.01671,191.54104,3.60116,0.1851463,2.3916171,8.56,1.94881804291827,2.83441615708173,0.9320637429182699,9.856084530896622
61,2023-02-25,179.48965,12.78505,333.57325,18.20788,0.1644911,2.9855954,7.63,2.4944915284990596,3.47669927150094,1.4777372284990595,10.462896239892212
62,2023-02-25,127.94379,277.4809,125.1203,2.23647,0.1681086,3.1306029,8.83,2.6043216293250597,3.65688417067494,1.5875673293250596,11.912133853949857
63,2023-02-25,151.79188,295.91148,337.69749,5.7739,0.1281453,2.3942555,7.56,2.0874429106758496,2.7010680893241497,1.0706886106758495,9.306388948866623
64,2023-02-25,350.59809,180.90528,308.99209,1.3058,0.1258178,2.6806282,7.71,2.34335745725804,3.0178989427419602,1.32660315725804,10.17289783888118
65,2023-02-25,116.77769,103.73289,155.52627,3.56357,0.1189684,3.4351637,6.89,3.02648777087292,3.8438396291270798,2.00973347087292,10.810386944383765
66,2023-02-25,340.34042,43.38656,7.49922,3.04515,0.1731223,2.6471755,9.55,2.18889038893635,3.10546061106365,1.17213608893635,11.596010260009244
67,2023-02-25,284.5977,107.06734,202.38775,6.02929,0.1845747,2.4221943,8.37,1.97511851373579,2.86927008626421,0.95836421373579,9.755618741170066
68,2023-02-25,198.58025,304.72072,44.05605,7.96105,0.1847941,2.7837146,7.05,2.26930056583614,3.2981286341638603,1.25254626583614,9.318428989881447
69,2023-02-25,210.28749,288.79967,184.9858,8.59314,0.1701139,2.9749819,7.25,2.4688961265615896,3.4810676734384103,1.4521418265615895,10.022559265310775
70,2023-02-25,36.20652,255.7582,47.66129,11.59522,0.1808969,2.6161971,8.25,2.14293515482101,3.08945904517899,1.1261808548210097,10.163085847593846
71,2023-02-25,205.42816,267.08248,315.92591,23.24201,0.1762609,2.7540371,7.24,2.26860804212061,3.23946615787939,1.25185374212061,9.506565295989828
72,2023-02-25,50.89292,103.19484,207.93351,5.41742,0.121002,2.266922,9.11,1.992619904156,2.5412240958440004,0.9758656041559999,10.55407237528181
73,2023-02-25,110.47007,55.82742,6.85369,2.36994,0.041998,2.6651273,9.03,2.5531972836546,2.7770573163453998,1.5364429836546,11.998004111166821
74,2023-02-25,211.95343,174.72854,197.11852,4.07191,0.2362711,2.7815064,8.8,2.12431682321496,3.43869597678504,1.10756252321496,10.657937702379142
75,2023-02-25,277.10491,339.50032,359.32197,4.99167,0.3036035,2.6743087,9.12,1.86237921859955,3.48623818140045,0.8456249185995499,10.106229445241414
76,2023-02-25,143.20998,252.00958,204.28228,2.12274,0.1667228,3.4125918,8.05,2.8436349398469596,3.9815486601530403,1.8268806398469595,11.627920076076087
77,2023-02-25,240.08758,61.67206,1.13164,2.42289,0.1334037,2.6673269,8.67,2.31149562243047,3.0231581775695298,1.29474132243047,11.050380421417202
78,2023-02-25,283.26853,152.94246,333.34586,8.6808,0.2037175,2.6237115,8.35,2.08921555249875,3.1582074475012503,1.07246125249875,10.101824302182079
79,2023-02-25,229.23404,201.5657,206.52161,4.6139,0.1907469,2.4443821,7.95,1.97812379200951,2.9106404079904897,0.9613694920095099,9.345719013221204
80,2023-02-25,134.14464,139.54735,218.64861,8.67672,0.2000257,2.295913,8.11,1.8366713950359002,2.7551546049641003,0.8199170950359,8.99900701806606
81,2023-02-25,273.71105,51.53861,0.94824,7.80534,0.2117732,2.8513653,8.73,2.24752254605004,3.4552080539499603,1.2307682460500398,10.939401699671421
82,2023-02-25,116.34943,110.94512,25.43621,2.82624,0.2205306,2.7628726,8.29,2.15357464779844,3.37217055220156,1.13682034779844,10.234258841818223
83,2023-02-25,231.95593,169.95826,27.6686,4.96735,0.0823564,2.4315764,8.79,2.23132052137104,2.63183227862896,1.2145662213710398,10.954915791591613
84,2023-02-25,127.53147,15.04785,327.51485,9.31629,0.2361232,2.3620586,9.37,1.8043217647804801,2.91979543521952,0.78756746478048,10.133008772764606
85,2023-02-25,180.28297,122.90072,203.05145,11.96131,0.1938247,2.6532333,7.8,2.1389711515974903,3.16749544840251,1.1222168515974902,9.701408565971565
86,2023-02-25,243.82167,308.95533,86.06875,4.82175,0.2162402,3.1045149,8.76,2.43319397712102,3.7758358228789803,1.4164396771210197,11.44687408220129
87,2023-02-25,304.52793,264.28812,73.01042,10.87985,0.0939673,3.4776999,6.97,3.1509098301867304,3.8044899698132704,2.1341555301867303,11.10831020650318
88,2023-02-25,348.03062,36.67603,276.43151,5.2139,0.1617149,2.768315,7.3,2.3206372166065,3.2159927833935,1.3038829166064998,9.70422924055974
89,2023-02-25,116.58985,45.09496,311.54618,16.12605,0.1844753,2.5503343,6.77,2.0798606149072096,3.0208079850927896,1.0631063149072095,8.493054644540091
